id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2020-03-01T15:07:43;26847;31692
2;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2020-03-01T11:47:40;35864;14008
3;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2020-03-02T02:55:40;55281;29359
4;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2020-03-01T23:31:10;62789;79829
5;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2020-03-01T21:40:37;67202;3594
6;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2020-03-02T10:37:25;82260;30326
7;Forest;Leuschke;Ericka_Lebsack27@gmail.com;Orchestrator;2020-03-02T00:34:53;8534;84202
8;Amely;Dietrich;Hank_Lindgren13@yahoo.com;Frozen Analyst card;2020-03-02T10:34:12;79518;39882
9;Donato;Kemmer;Natalie2@yahoo.com;Brand;2020-03-01T15:29:32;42831;69597
10;Martina;Jaskolski;Chadd44@gmail.com;Optimized;2020-03-02T09:18:10;71459;18286
